sample_name,dataset,SUPER,SUB
NA19475,GnomAD,AFR,LWK
NA19700,GnomAD,AFR,ASW
NA19701,GnomAD,AFR,ASW
NA19703,GnomAD,AFR,ASW
NA19704,GnomAD,AFR,ASW
NA19707,GnomAD,AFR,ASW
NA19711,GnomAD,AFR,ASW
NA19712,GnomAD,AFR,ASW
NA19713,GnomAD,AFR,ASW
NA19818,GnomAD,AFR,ASW
NA19819,GnomAD,AFR,ASW
NA19834,GnomAD,AFR,ASW
NA19835,GnomAD,AFR,ASW
NA19900,GnomAD,AFR,ASW
NA19901,GnomAD,AFR,ASW
NA19908,GnomAD,AFR,ASW
NA19909,GnomAD,AFR,ASW
NA19913,GnomAD,AFR,ASW
NA19914,GnomAD,AFR,ASW
NA19916,GnomAD,AFR,ASW
NA19917,GnomAD,AFR,ASW
NA19920,GnomAD,AFR,ASW
NA19921,GnomAD,AFR,ASW
NA19922,GnomAD,AFR,ASW
NA19923,GnomAD,AFR,ASW
NA19982,GnomAD,AFR,ASW
NA19984,GnomAD,AFR,ASW
NA20126,GnomAD,AFR,ASW
NA20127,GnomAD,AFR,ASW
NA20276,GnomAD,AFR,ASW
NA20278,GnomAD,AFR,ASW
NA20281,GnomAD,AFR,ASW
NA20282,GnomAD,AFR,ASW
NA20287,GnomAD,AFR,ASW
NA20289,GnomAD,AFR,ASW
NA20291,GnomAD,AFR,ASW
NA20294,GnomAD,AFR,ASW
NA20296,GnomAD,AFR,ASW
NA20298,GnomAD,AFR,ASW
NA20318,GnomAD,AFR,ASW
NA20320,GnomAD,AFR,ASW
NA20332,GnomAD,AFR,ASW
NA20334,GnomAD,AFR,ASW
NA20339,GnomAD,AFR,ASW
NA20340,GnomAD,AFR,ASW
NA20342,GnomAD,AFR,ASW
NA20346,GnomAD,AFR,ASW
NA20348,GnomAD,AFR,ASW
NA20351,GnomAD,AFR,ASW
NA20356,GnomAD,AFR,ASW
NA20357,GnomAD,AFR,ASW
NA20359,GnomAD,AFR,ASW
NA20412,GnomAD,AFR,ASW
SS6004470,GnomAD,AFR,Mandenka
SS6004473,GnomAD,AFR,San
SS6004475,GnomAD,AFR,Yoruba
